name,description,make,model,year,price,engine,cylinders,fuel,mileage,transmission,trim,body,doors,exterior_color,interior_color,drivetrain
2024 Kia EV6 Wind,"Aurora Black Pearl 2024 Kia EV6 Wind AWD 1-Speed Automatic4D Sport Utility Electric Motor106/86 City/Highway MPG Price includes $799.50 D&H Fee, and all applicable rebates some customers may not qualify for all. See dealer for details.: $7500 - Kia Customer Cash. Exp. 07/08/2024Costco, Sam's Club or Amazon Prime Member? Let us know, you may be eligible for additional savings. Active military or first responder? Educator or health care worker? Tell us! We appreciate what you do everyday! We'll go the extra mile for you! Shakey credit? Don't stress, we have programs that may help! When you visit or call please ask for our Internet Team. Call us at 720-251-2696.",Kia,EV6,2024,41991.0,c,,Electric,13.0,Automatic,Wind,SUV,4.0,Aurora Black Pearl,Black,All-wheel Drive
2024 Kia Sportage S,"
      
        25/33 City/Highway MPGThe Classic Kia Team thanks you for the opportunity to serve our local and surrounding communities. Come see us at 3875 Eastex Freeway, Beaumont, TX 77706 or stop by online at www.classickia.com.Classic Kia is pumped up to offer this fantastic 2024 Kia Sportage LX in Gravity Gray with Black interior. Well equipped with 17'' Alloy Wheels, 4-Wheel Disc Brakes, 6 Speakers, ABS brakes, Air Conditioning, Alloy wheels, AM/FM radio, Auto High-beam Headlights, Axle Ratio: 3.648, Brake assist, Bumpers: body-color, Cargo Mat, Cargo Net Hybrid w/o Audio, Carpeted Floor Mats, Cloth Seat Trim, Delay-off headlights, Driver door bin, Driver vanity mirror, Dual front impact airbags, Dual front side impact airbags, Electronic Stability Control, Four wheel independent suspension, Front anti-roll bar, Front Bucket Seats, Front Center Armrest, Fully automatic headlights, Illuminated entry, Low tire pressure warning, Occupant sensing airbag, Outside temperature display, Overhead airbag, Overhead console, Panic alarm, Passenger door bin, Passenger vanity mirror, Power door mirrors, Power steering, Power windows, Radio: AM/FM/HD Audio System, Rear anti-roll bar, Rear seat center armrest, Rear side impact airbag, Rear window defroster, Rear window wiper, Remote keyless entry, Security system, Speed control, Speed-sensing steering, Split folding rear seat, Spoiler, Steering wheel mounted audio controls, Tachometer, Telescoping steering wheel, Tilt steering wheel, Traction control, Trip computer, and Variably intermittent wipers.
      
    Check us out for the largest selection of inventory in Southeast Texas!",Kia,Sportage,2024,27969.0,"4 port/direct injection, DOHC, CVVT variable valve contro",4.0,Gasoline,0.0,8-Speed Automatic,S,SUV,4.0,Gravity Gray,Black,Front-wheel Drive
2024 Hyundai Tucson Hybrid SEL Convenience,,Hyundai,Tucson Hybrid,2024,37275.0,16V GDI DOHC Turbo Hybrid,4.0,Hybrid,5.0,6-Speed Automatic,SEL Convenience,SUV,4.0,Amazon Gray,Gray,All-wheel Drive
2024 Jeep Grand Cherokee Laredo,,Jeep,Grand Cherokee,2024,42425.0,OHV,6.0,Gasoline,5.0,8-Speed Automatic,Laredo,SUV,4.0,Silver Zynith,Black,Four-wheel Drive
2024 Ford Transit-350 148 WB Medium Roof Cargo,"
      
        See what's behind you with the back up camera on this 1 ton van. The Ford Transit Van features a hands-free Bluetooth phone system. Maintaining a stable interior temperature in this unit is easy with the climate control system. It has a V6, 3.5L high output engine. It shines with clean polished lines coated with an elegant white finish. Enjoy the incredible handling with the rear wheel drive on this unit. The Electronic Stability Control will keep you on your intended path. It features cruise control for long trips. This unit has an automatic transmission. Anti-lock brakes are standard on this 2024 Ford Transit Van T-350 Med Roof Slide. The FlexFuel capability of the vehicle allows you to select fuel depending on the price of E85 versus gasoline. This one-ton van is burly and equipped to tow.
      
    We don't just sell and service cars. We believe in providing the best customer experience, by bring transparency and honesty to the car buying process. Our team wants to make the car buying process a pleasant and delightful process, which historically has not always been the case. Car buying should be fun! Stop in or contact us today!",Ford,Transit-350,2024,52530.0,24V PDI DOHC Flexible Fuel,6.0,E85 Flex Fuel,1.0,,148 WB Medium Roof Cargo,Cargo Van,3.0,White,,Rear-wheel Drive
2024 RAM 3500 Laramie,"
      
        Pearl White 2024 Ram 3500 Laramie 4WD 6-Speed Automatic I6 CLEAN AND SANITIZED.The sales staff at Freedom Chrysler Dodge Jeep Ram North in Sherman Texas, proudly offers a huge selection of New Cars, Trucks and SUVs in North, TX. Our experienced sales staff can point you in the right direction based on your individual vehicle needs. We also offer competitive financing, top tier service and a fully stocked inventory. Call us today @ 903-893-0144 or visit www.freedomchrylserdodgejeepramnorth.com. 'Saveatfreedom'
      
    ",RAM,3500,2024,77085.0,oled Turbo Diesel I-6 6.7 L/408,6.0,Diesel,16.0,Automatic,Laramie,Pickup Truck,4.0,Pearl White,Black,Four-wheel Drive
2024 Dodge Hornet GT AWD,"
      
        EquipmentNever get into a cold vehicle again with the remote start feature on this 2024 Dodge Hornet . This model has automated speed control that adjusts to maintain a safe following distance, enhancing highway driving convenience. This model is pure luxury with a heated steering wheel. The leather seats in the vehicle are a must for buyers looking for comfort, durability, and style. Bluetooth technology is built into this unit, keeping your hands on the steering wheel and your focus on the road. The state of the art park assist system will guide you easily into any spot. The vehicle offers Android Auto for seamless smartphone integration. Protect this mid-size suv from unwanted accidents with a cutting edge backup camera system. Apple CarPlay: Seamless smartphone integration for this unit - stay connected and entertained on the go! This model's Forward Collision Warning feature alerts drivers to potential front-end collisions. The Dodge Hornet has a L4, 2.0L high output engine.PackagesGT Blacktop Package: Gloss Black Painted Day Light Opening; 225/55R18 All Season Tires; 18'' X 7.5'' Abyss Finish Aluminum Wheels; Dark Hornet Badge; Goodyear Brand Tires; Dark GT Badge; Gloss Black Painted Mirror Caps. Cold Weather Group: Remote Start System; Heated Front Seats; Heated Steering Wheel. Quick Order Package 23M. Equipment listed is based on original vehicle build and subject to change. Please confirm the accuracy of the included equipment by calling the dealer prior to purchase.
      
    Family owned and operated for 88 years. Visit our store today, you will see that we deliver the best dealership experience you have ever had. New vehicle prices include Factory incentives and rebates for SEBC (VA, NC, SC, GA, FL), RAM Trucks and Chrysler 200s (except convertibles) include $500 Chrysler Capital Financing. On approved credit. Call or TEXT (336) 290-7281",Dodge,Hornet,2024,34000.0,"ne 2L I-4 gasoline direct injection, DOHC, variable valve",4.0,Gasoline,4440.0,9-speed automatic,GT AWD,SUV,4.0,Acapulco Gold,Black,All-wheel Drive
2024 Hyundai Tucson Hybrid SEL Convenience,"
      
        As Utahâs #1 Volume Hyundai Dealer and Highest Customer Satisfaction Index, we are ted to getting you the best price up front. Unlike our competitors, you will not have to deal with surprise charges during the paperwork. PLUS WE GUARANTEE YOUR PEACE OF MIND WITH OUR 5-DAY/500 MILE EXCHANGE POLICY. Life is full of regrets, car buying should not be one of them - Murdock Hyundai ...Internet Price based on financing through the dealership to receive entire discount. Price includes: $1000 - Retail Bonus Cash. Exp. 06/03/2024
      
    For more information please call Internet Sales at 888-809-5788 .  Please print this add and have it signed by an Internet Sales Manager to receive Special Internet Pricing. x_____________________________",Hyundai,Tucson Hybrid,2024,37215.0,16V GDI DOHC Turbo Hybrid,4.0,Hybrid,,6-Speed Automatic,SEL Convenience,SUV,4.0,Black Pearl,Gray,All-wheel Drive
2024 Jeep Wrangler 4xe Rubicon,"
      
        JUST ARRIVED at James River Chrysler, Jeep, RAM! We are a family-owned and operated automotive dealership located in Ozark, Missouri. We specialize in superior customer service including buyers assistance of new and pre-owned including certified pre-owned SUVs and trucks, as well as offering financing options, service, and parts. This vehicle is brand new with incentives! Call one of our specialists for more information at 417-815-4909! Thank You!
      
    ",Jeep,Wrangler 4xe,2024,67190.0,16V GDI DOHC Turbo Hybrid,4.0,Hybrid,12.0,8-Speed Automatic,Rubicon,SUV,4.0,Bright White Clearcoat,Black,Four-wheel Drive
2023 Dodge Durango Pursuit,"2023 Dodge Durango AWD Pursuit White Knuckle Clearcoat 8-Speed Automatic 3.6L V6 24V VVTThank you for visiting Don Franklin Auto Group. We know you have many choices while shopping for automotive products and services on the Internet. Our goal is to provide you with a complete 1-stop shopping site while you are visiting our virtual dealership. We will provide you with quick, expedient answers to any questions you may have.",Dodge,Durango,2023,44170.0,24V MPFI DOHC,6.0,Gasoline,35.0,8-Speed Automatic,Pursuit,SUV,4.0,White Knuckle Clearcoat,Black,All-wheel Drive
2024 Nissan Versa S,"32/40 City/Highway MPG Electric Blue Metallic 2024 Nissan Versa 1.6 S FWD CVT 1.6L I4 DOHC 16VAt Courtesy Nissan, we are dedicated to providing you the best in value and service with our online dealership to enhance the buying experience for all Internet customers and can offer the best car loan financing options available to suit your needs to help you get the vehicle you need. Come see why thousands of customers from all over Florida have chosen the #1 Volume Nissan Dealer in Tampa!",Nissan,Versa,2024,17994.0,16V MPFI DOHC,4.0,Gasoline,8.0,Automatic CVT,S,Sedan,4.0,Electric Blue Metallic,Charcoal,Front-wheel Drive
2024 Dodge Hornet R/T,"R/T Blacktop Package,Hot Tamale,Lane Keeping Assist,Keyless Start,Rear Spoiler,Black; Cloth/Leatherette Seats,Engine: 1.3L I4 Turbo Phev,Quick Order Package 28B,Transmission: 6-Speed Aisin F21-250 Phev Auto",Dodge,Hornet,2024,42991.0,16V GDI DOHC Turbo Hybrid,4.0,Hybrid,14.0,6-Speed Automatic,R/T,SUV,4.0,HOT TAMALE,Black,All-wheel Drive
2023 Jeep Wagoneer L Series III,"
      
        Premium Group I,Preferred Equipment Group,Hd Trailer Tow Package,Flexible Seating Group,River Rock,Panoramic Roof,Leather Seats,Navigation System,3rd Row Seat,Lane Keeping Assist,Keyless Start,Heads-Up Display,Cooled Front Seat(S),Engine: 3.0L I6 Hurricane So Twin Turbo Ess,Quick Order Package 25N,Sea Salt/Black; Leather Trimmed Bucket Seats,Transmission: 8-Speed Automatic (8Hp75)
      
    ",Jeep,Wagoneer L,2023,86097.0,24V GDI DOHC Twin Turbo,6.0,Gasoline,9711.0,8-Speed Automatic,Series III,SUV,4.0,Riverrock Green,Sea Salt,Four-wheel Drive
2024 Mazda CX-90 PHEV Premium Plus,"
      
        Jet Black Mica 2024 Mazda CX-90 PHEV Premium Plus Premium Plus 2.5L I4 DOHC 16V LEV3-SULEV30 AWD 8-Speed Automatic 12 Speakers, 3rd Row Seats, 4-Wheel Disc Brakes, 4.444 Axle Ratio, ABS Brakes, Air Conditioning, Alloy wheels, AM/FM Radio, Available Sirius XM Radio, Auto High-beam Headlights, Auto-dimming door mirrors, Auto-dimming Rear-View mirror, Automatic temperature control, Brake Assist, Bumpers: body-color, Compass, Delay-off headlights, Driver door bin, Driver vanity mirror, Dual front impact airbags, Dual front side impact airbags, Dual-Climate Control, E911 Automatic Emergency Notification, Electronic Stability Control, Emergency communication system: MAZDA CONNECT, Four wheel independent suspension, Front anti-roll bar, Front Bucket Seats, Front Center Armrest w/Storage, Front reading lights, Fully Automatic Headlights, Garage door transmitter: HomeLink, Heads-Up Display, Heated Front Seats, Heated Rear Seats, Heated Sideview Mirrors, Heated Steering Wheel, Heated/Ventilated Front Bucket Seats, Illuminated Entry, Infotainment System Voice Command, Knee airbag, Leather Shift Knob, Leather Steering Wheel, Low Tire Pressure Warning, Mazda Connected Services, Mazda Navigation System, Memory seat, Nappa Leather Seat Trim, Navigation system: MAZDA CONNECT, Occupant sensing airbag, Outside Temperature Display, Overhead airbag, Overhead Console, Pandora Internet Radio Integration, Panic alarm, Passenger door bin, Passenger vanity mirror, Power Adjusting Driver Seat, Power Liftgate, Power Moonroof, Power passenger seat, Power Sideview Mirrors, Power Steering, Power Windows, Radio Broadcast Data System Program Information, Radio data system, Radio: AM/FM w/HD/Bose 12-Speaker Audio System, Rain Sensing Wipers, Rear Air Conditioning, Rear anti-roll bar, Rear reading lights, Rear Spoiler, Rear Window Wiper, Rear/Front Window Defroster, Remote keyless entry, Roof rack: rails only, Security system, SMS Text Msg Audio Delivery & Reply, Speed Control, Speed-sensing steering, Split Folding Rear Seat, Steering Wheel Mounted Audio Controls, Tachometer, Telescoping steering wheel, Tilt steering wheel, Traction Control, Trip computer, Turn signal indicator mirrors, Variably intermittent wipers, Ventilated Front Seats, Wheels: 21 x 9.5J Aluminum Alloy.
      
    We provide remote delivery of your new vehicle to your home or work. ",Mazda,CX-90 PHEV,2024,59205.0,16V GDI DOHC Hybrid,4.0,Hybrid,3.0,8-Speed Automatic,Premium Plus,SUV,4.0,Jet Black Mica,Black,All-wheel Drive
2024 Ford Mustang Mach-E Premium,"
      
        .
      
    ",Ford,Mustang Mach-E,2024,46920.0,c,,Electric,10.0,1-Speed Automatic,Premium,SUV,4.0,Shadow Black,Black Onyx,All-wheel Drive
2024 Dodge Hornet R/T EAWD,"
      
        CALL 239-424-7514 to set up a VIP APPOINTMENT!, 1.3L I4.2024 Dodge Hornet R/T 8 Ball AWD 6-Speed Automatic 1.3L I4Cape Coral Chrysler Dodge Jeep Ram wants to be your dealer. With the friendliest staff is Southwest Florida, the newest state of the art facility, 52 bays of service, 5 service lanes, automated car wash, free refreshments, and over 40 banks to get you the best deals possible on your new vehicle. Call Cape Coral Chrysler Dodge Jeep Ram for all your automotive needs or with any questions about our listings.
      
    Cape Coral CDJR provides you a world class client experience.  With the friendliest staff in Southwest Florida, and over 4,000 vehicles in stock and available, you'll always find what you need to fit into your budget.  Find us on Pine Island Road.",Dodge,Hornet,2024,41036.0,"4 gasoline direct injection, DOHC, Multiair variable valv",4.0,Gasoline,5.0,6-Speed Automatic,R/T EAWD,,4.0,8 Ball,Black,All-wheel Drive
